Item,Description,Type,Lot No.,Exp Date,Cost,Quantity On Hand,Quantity On Sales Order,Quantity On Purchase Order,U/M
Biobase Products:Biobase Equipment:(73574),Biobase BJPX -H1160IV Constant Temperature Incubator,Inventory Part,73574,," 30,450.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(BBR4V8625230204C),Biobase BBR-4V86 Blood Bank Refrigerator,Inventory Part,BBR4V8625230204C,," 57,050.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(BJPXFJ240300057A),Biobase BJPX-FJ Plasma Extractor,Inventory Part,BJPXFJ240300057A,," 9,100.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(BJPXFJ240300058A),Biobase BJPX-FJ Plasma Extractor,Inventory Part,BJPXFJ240300058A,," 9,100.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(BKQZ50I24015015),Biobase BKQ-Z50I Autoclave,Inventory Part,BKQZ50I24015015,," 75,250.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(BKQZ50I24035007),Biobase BKQ-Z50I Autoclave,Inventory Part,BKQZ50I24035007,," 75,250.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(BKQZ50I24035008),Biobase BKQ-Z50I Autoclave,Inventory Part,BKQZ50I24035008,," 75,250.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(BPR5V11826230800C),Biobase BPR-5V118 Laboratory Refrigerator,Inventory Part,BPR5V11826230800C,," 30,450.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(BPR5V288S25230020),Biobase BPR-5V288S Laboratory Refrigerator,Inventory Part,BPR5V288S25230020,," 49,000.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(BPR5V36026240075C),Biobase BPR-5V360 Laboratory Refrigerator,Inventory Part,BPR5V36026240075C,," 44,100.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(BSC11AA240400054B),Biobase BSC-1100IIA2-X Biological Safety Cabinet,Inventory Part,BSC11AA240400054B,," 171,500.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(UP202210186),Biobase HWQ-001 Infrared Sterilizer,Inventory Part,UP202210186,," 10,500.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(UP202210264),Biobase HWQ-001 Infrared Sterilizer,Inventory Part,UP202210264,," 10,500.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:(UP202211556),Biobase HWQ-001 Infrared Sterilizer - Lacking Parts,Inventory Part,UP202211556- Lacking Parts,," 10,500.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:0.5-10ul,Biobase Micropette Plus Autoclavable Pipettes Single Channel Adjustable Volume  0.5-10ul,Inventory Part,,," 1,950.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:100-1000ul,Biobase Micropette Plus Autoclavable Pipettes Single Channel Adjustable Volume 100-1000ul,Inventory Part,,," 1,950.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:11231BBC86 (Hepa Filter),Biobase BSC-1100IIA2-X UV Lamp,Inventory Part,,, 0.00 ,3.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Equipment:11231BBC86(31A210400032B),Biobase 11231BBC86 Biosafety Cabinet with Stand,Inventory Part,31A210400032B,," 101,400.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:11231BBC86(31A210400066B),Biobase 11231BBC86 Biosafety Cabinet with Stand,Inventory Part,31A210400066B,," 101,400.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:20-200ul,Biobase Micropette Plus Autoclavable Pipettes Single Channel  Adjustable Volume 20-200ul,Inventory Part,,," 1,950.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:50-300ul,Biobase Micropette Plus Autoclavable Pipettes 8 Channel Adjustable Volume 50-300ul,Inventory Part,,," 8,775.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BBR-4V120(XCO12026210035),Biobase BBR-4V120 Blood Bank Refrigerator,Inventory Part,XCO12026210035,," 73,775.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BBR-4V310(XC031025210083),Biobase BBR-4V310 Blood Bag Refrigerator (XC031025210083),Inventory Part,,," 92,950.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BBS-DDC(BBS11V2009129D),Biobase BBS-DDC Laminar Flow Cabinet,Inventory Part,BBS11V2009129D,," 52,000.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BCM-12B (2003001),Biobase BCM-12B Blood Collection Monitor,Inventory Part,2003001,, 0.00 ,1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BDF-25H485 (2020091416-1),Biobase -25 Freezer BDF-25H485 (2020091416-1),Inventory Part,,," 57,200.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BDF-25V268(DF25V26826210097),Biobase BDF-25V268 Plasma Freezer -25C,Inventory Part,DF25V26826210097,," 57,200.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:Biobase Heater,Biobase Heater used for Infrared Sterilizer (warranty replacement),Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Equipment:Biobase Temp. Probe,Biobase Biobase Temp. Probe PT100,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Equipment:BIOBASE1000 (102027068),Biobase 1000 Auto Elisa Analyzer with Computer,Inventory Part,102027068 - REFURBISHED,, 0.00 ,1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BIOBASE1000 (102027077),Biobase 1000 Auto Elisa Analyzer with Computer  (102027077),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BJPX-H48II (22061669),Biobase BJPX-H48II Constant Temperature Incubator,Inventory Part,22061669,," 21,125.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BJPX-H48II (22061670),Biobase BJPX-H48II Constant Temperature Incubator,Inventory Part,22061670,," 21,125.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BJPX-H48II (22061671),Biobase BJPX-H48II Constant Temperature Incubator,Inventory Part,22061671,," 21,125.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BJPX-P10 (G170401209P10 (B)),Biobase BJPX-P10 Platelet Incubator,Inventory Part,G170401209P10B,, 0.00 ,1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BK-BTS I (190124001),Biobase Blood Bag Tube Sealer BK-BTS I (190124001),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BK-BTS I (190124002),Biobase Blood Bag Tube Sealer BK-BTS I(190124002),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BK-BTS I (2022121704),Biobase BK-BTS I Blood Bag Tube Sealer,Inventory Part,2022121704,," 41,470.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BK-BTS I (2022121706),Biobase BK-BTS I Blood Bag Tube Sealer -,Inventory Part,2022121706,," 41,470.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BK200 (SHY200M19077611),Biobase BK-200Mini Auto Chemistry Analyzer,Inventory Part,SHY200M19077611,, 0.00 ,1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BKQ-H300 (BKQH30023105001),Biobase BKQ-H300 Autoclave,Inventory Part,BKQH30023105001,," 221,000.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BKQ-H300 (BKQH30023105002),Biobase BKQ-H300 Autoclave,Inventory Part,BKQH30023105002,," 221,000.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BKQ-Z50I Bucket,Biobase BKQ-Z50I Sterilization Bucket,Inventory Part,,," 2,925.00 ",1.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Equipment:BKQ-Z50l(BKQZ50l24105033),Biobase BKQ-Z50l Autoclave,Inventory Part,BKQZ50l24105033,," 75,250.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BKQ-Z50l(BKQZ50l24105034),Biobase BKQ-Z50l Autoclave,Inventory Part,BKQZ50l24105034,," 75,250.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BKQZ75124045002,Biobase BKQ-Z751 Autoclave,Inventory Part,BKQZ75124045002,," 85,400.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:Blood Gas (0322030011),Medica Easy Blood Gas Analyzer (0322030011),Inventory Part,,," 550,000.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BOV-V65C(1608174),Biobase BOV-V65C Drying Oven,Inventory Part,1608174,, 0.00 ,0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BOV-V65F (2003052),Biobase BOV-V65F  Drying Oven (2003052),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BOV-V65F(2105860),Biobase BOV-V65F Drying Oven,Inventory Part,2105860,," 20,800.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BOV-V70F(06142404),Biobase BOV-V70F Drying Oven,Inventory Part,06142404,," 68,620.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BPR-5V1500 (G2007000103BPR),Biobase BPR-5V1500 Laboratory Refrigerator ((G2007000103BPR-5V1500),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BPR-5V1500(G2007000203BPR),Biobase BPR-5V1500 Laboratory Refrigerator (G2007000203BPR-5V1500),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BPR-5V310(YC031026211949),Biobase BPR-5V310 Biomedical Refrigerator,Inventory Part,YC031026211949 - DOH NCR,," 36,400.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BPR-5V368 (BPR5V36826240606C),Biobase BPR-5V368 Laboratory Refrigerator,Inventory Part,BPR5V36826240606C,," 37,800.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BPR-5V650(BPR5V65025240092C),Biobase BPR-5V650 Laboratory Refrigerator,Inventory Part,BPR5V65025240092C,," 87,500.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BRF-25V318(BRF25V31825240184C),Biobase BRF-25V318 Freezer -25C,Inventory Part,BRF25V31825240184C,," 74,900.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BRF-25V318(BRF25V31825240186C),Biobase BRF-25V318 Freezer -25C,Inventory Part,BRF25V31825240186C,," 74,900.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BRF-25V318(BRF25V31825240204C),Biobase BRF-25V318 Freezer -25C,Inventory Part,BRF25V31825240204C,," 74,900.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BRF-25V318(BRF25V31825240221C),Biobase BRF-25V318 Freezer -25C,Inventory Part,BRF25V31825240221C,," 74,900.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BSC-110011A2-X (11A221002791A),Biobase BSC-110011A2-X Biological Safety Cabinet,Inventory Part,11A221002791A,," 159,250.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BSC-110011A2-X (11A221002900A),Biobase BSC-110011A2-X Biological Safety Cabinet,Inventory Part,11A221002900A,," 159,250.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BSC-1100IIA2-X (Hepa Filter),Biobase BSC-1100IIA2-X Hepa Filter (Exhaust Filter & Supply Filter),Inventory Part,,, 0.00 ,4.00,0.00,0.00,Set (set)
Biobase Products:Biobase Equipment:BSC-V120B(11AA241101069B),Biobase BSC-1100llA2-X Biological Safety Cabinet,Inventory Part,11AA241101069B,," 171,150.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BXC-V120B(1003109BXC-V120B(B),Biobase BXC-V120B Blood Bank Refrigerator (1003109BXC-V120B(B),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BXC-V120B(G1701003109BXC-V120B),Biobase BXC-V120B Blood Bank Refrigerator (G1701003109BXC-V120B),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:BXC-V450B  (LC-450/17/2503),Biobase BXC-V450Bsensor for Medical Refrigerator (LC-450/17/2503),Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:DBI-I (101-20467-20080011),"Biobase Dry Bath Incubator DBI-I with 45*0.5ml, 35*1.5 ML, 35*2 ML Block (101-20467-20080011)",Inventory Part,,," 23,725.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:DBI-I(101-20467-20090001),"Biobase Dry Bath Incubator DBI-I with 45*0.5ml, 35*1.5 ML, 35*2 ML Block (101-20467-20090001)",Inventory Part,,," 23,725.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:DL6MB (13022206017),Biobase DL6MB Blood Bag Centrifuge 13022206017),Inventory Part,,," 385,450.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:DL6MB Blood Bag,Biobase DL6MB Blood Bag Centrifuge......,Inventory Part,13022307018,," 505,375.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:DL6MB Swing Rotor,Biobase DL6MB Swing Motor (Ellipse Cup) 6x1000ml,Inventory Part,,," 104,000.00 ",0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Equipment:FJ-II (FJ2W2203010C),Biobase FJ-II Plasma Extractor,Inventory Part,FJ2W2203010C,," 10,400.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:FJ-II (FJ2W2203012C),Biobase FJ-II Plasma Extractor,Inventory Part,FJ2W2203012C,," 10,400.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:Infared(UP2018021602),Biobase HWQ-001 Infared Sterilizer,Inventory Part,UP2018021602,," 9,750.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:Linear Pipette Stand,Biobase Linear Pipette Stand,Inventory Part,,, 975.00 ,0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:MX-S (VB208AN0002984),Biobase Vortex Mixer MX-S (VB208AN0002984),Inventory Part,,," 4,550.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:MX-S (VB208AN0002985),Biobase Vortex Mixer MX-S (VB208AN0002985),Inventory Part,,," 4,550.00 ",0.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Equipment:SCR-100 (HNL061301),Biobase SCR-100 Blood Thaw Machine,Inventory Part,HNL061301,," 111,475.00 ",1.00,0.00,0.00,unit (unit)
Biobase Products:Biobase Parts,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Biobase Products:Biobase Parts:11231BBC86 (Hepa Filter),Biobase 11231BBC86 Hepa Filter (Exhaust Filter & Supply Filter),Inventory Part,,, 0.00 ,3.00,0.00,0.00,Set (set)
Biobase Products:Biobase Parts:11231BBC86 (UV Lamp),Biobase 11231BBC86 UV Lamp,Inventory Part,,," 1,300.00 ",4.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:2*2*48 WELL,Biobase Rotor 2*2*48 WELL,Inventory Part,,," 16,250.00 ",0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:24*1.5/2.0ML,Biobase Rotor 24*1.5/2.0ML,Inventory Part,,," 12,025.00 ",0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:Axis Belt,Biobase1000 Probe Y- Axis  Belt,Inventory Part,,, 0.00 ,2.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:Biobase Mini BK200 Mini Lamp,Biobase BK200 Mini Lamp,Inventory Part,,, 0.00 ,1.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:Biobase1000 Spare Parts,"Biobase 1000 Spare Parts (Base Board, Motor, Cable)",Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:BK200 Mini (Lamp),Biobase BK200 Mini Lamp,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:BK200 Mini (Wash Up/Down),Biobase BK200 Mini Wash Mechanism Up/Down  Motor,Inventory Part,,, 0.00 ,2.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:BK200Mini (Cuvettes),Biobase BK200 Mini  Cuvettes,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:BKQ-Z50I Exhaust,Biobase BKQ-Z50I Exhaust Solenoid Valve,Inventory Part,,," 1,890.00 ",1.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:BSC Ballast,Biobase BSC-110011A2-X Ballast,Inventory Part,,," 1,690.00 ",4.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:Control Board,Biobase LC-H4KII Control Board,Inventory Part,,," 1,625.00 ",4.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:DL6MB Adaptor,Biobase DL6MB Blood Bag Adaptor 6x500ml,Inventory Part,,," 11,375.00 ",0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:MiniProbe,Biobase BK200 Mini Probe (from SN: SHY200M19017612),Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:Motor,Biobase BSC-11231BBC86 Motor,Inventory Part,,, 0.00 ,2.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:Relay Assy,Biobase Relay Assy BKQ-H300,Inventory Part,,, 0.00 ,2.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:Sample Probe,Biobase Sample Probe for  BK-200 Mini,Inventory Part,,," 2,925.00 ",1.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:Temp Sensor,Biobase Temp. Sensor for BXC-V120B,Inventory Part,,, 325.00 ,0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:Temperature Controller,Biobase BXC-V450B Temperature Controller,Inventory Part,,, 0.00 ,1.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:Temperature Sensor,Biobase BXC-V120B Temperature Sensor,Inventory Part,,, 350.00 ,0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:Transport Belt,Biobase 1000 Transport Belt,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Biobase Products:Biobase Parts:UV Lamp,Biobase 11231BBC86 UV Lamp,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Biobase Products:BK200 Cuvettes 48 pcs,Biobase BK200 Cuvettes 48 pcs,Inventory Part,,, 0.00 ,0.00,0.00,0.00,Set (set)
Biobase Products:BPR-5V368(BPR5V36826240607C),Biobase BPR-5V368 Laboratory Refrigerator,Inventory Part,BPR5V36826240607C,," 37,800.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Bioelab Products:AS-120,Bioelab AS-120 Automated Chemistry Analyzer,Inventory Part,,, 0.00 ,0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AES23T11242),Bioelab AS-120 Automated Chemistry Analyzer,Inventory Part,AES23T11242,," 175,500.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AES23T11243),Bioelab AS-120 Automated Chemistry Analyzer - CEBU Installation,Inventory Part,AES23T11243,- CEBU Installation," 175,500.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AES23T12116),Bioelab AS-120 Automated Chemistry Analyzer,Inventory Part,AES23T12116,," 175,500.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AES23T12117),Bioelab AS-120 Automated Chemistry Analyzer,Inventory Part,AES23T12117,," 175,500.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AS24VB07350),Bioelab AS-120 Automated Chemistry Analyzer,Inventory Part,AS24VB07350,," 189,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AS24VP08101),Bioelab AS-120 Automated Chemistry Analyzer,Inventory Part,AS24VP08101,," 189,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AS24VP08102),Bioelab AS-120 Automated Chemistry Analyzer,Inventory Part,AS24VP08102,," 189,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AS24VP10160),Bioelab AS-120 Auto Chemistry Analyzer,Inventory Part,AS24VP10160,," 189,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AS24VP10161),Bioelab AS-120 Auto Chemistry Analyzer,Inventory Part,AS24VP10161,," 189,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AS25S03030),Bioelab AS-120 Auto Chemistry Analyzer,Inventory Part,AS25S03030,," 189,000.00 ",1.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AS25S03031),Bioelab AS-120 Auto Chemistry Analyzer,Inventory Part,AS25S03031,," 189,000.00 ",1.00,0.00,0.00,unit (unit)
Bioelab Products:AS-120 (AS25S03032),Bioelab AS-120 Auto Chemistry Analyzer,Inventory Part,AS25S03032,," 189,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-280 (AES23T03278),Bioelab AS-280 Fully-Auto Chemistry Analyzer (AES23T03278),Inventory Part,,," 292,500.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-280 (AES23T03279),Bioelab AS-280 Fully-Auto Chemistry Analyzer,Inventory Part,AES23T03279,," 292,500.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-280 (AES23T11240),Bioelab AS-280 Fully-Auto Chemistry Analyzer,Inventory Part,AES23T11240,," 292,500.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-280 (AES23T11241),Bioelab AS-280 Fully-Auto Chemistry Analyzer,Inventory Part,AES23T11241,," 292,500.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS-280 (AS24VP10162),Bioelab AS-280 Fully-Auto Chemistry Analyzer,Inventory Part,AS24VP10162,," 315,000.00 ",1.00,0.00,0.00,unit (unit)
Bioelab Products:AS-280 (AS24VP10163),Bioelab AS-280 Fully-Auto Chemistry Analyzer,Inventory Part,AS24VP10163,," 315,000.00 ",1.00,0.00,0.00,unit (unit)
Bioelab Products:AS120 (AS24VB07351),Bioelab AS-120 Automated Chemistry Analyzer,Inventory Part,AS24VB07351,," 189,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:AS120/280  Lamp,Bioelab AS120/280 Lamp House Assembly,Inventory Part,,," 5,161.73 ",2.00,1.00,0.00,pc (pc)
"Bioelab Products:DiluentCS (241025, 2026-10-25)",Bioelab Diluent 20L,Inventory Part,241025,2026-10-25," 1,050.00 ",88.00,0.00,0.00,box (box)
Bioelab Products:EC-38 (EC382311JPT132),Bioelab EC-38 Automated Hematology Analyzer,Inventory Part,EC382311JPT132,," 118,181.70 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:EC-38 (EC382311JPT133),Bioelab EC-38 Automated Hematology Analyzer,Inventory Part,EC382311JPT133,," 118,181.70 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:EC-38 (EC382311JPT134),Bioelab EC-38 Automated Hematology Analyzer,Inventory Part,EC382311JPT134,," 118,181.70 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:EC-38 (EC382311JPT135),Bioelab EC-38 Automated Hematology Analyzer,Inventory Part,EC382311JPT135,," 118,181.70 ",1.00,0.00,0.00,unit (unit)
Bioelab Products:EC-38 (EC382311JPT136),Bioelab EC-38 Automated Hematology Analyzer,Inventory Part,EC382311JPT136,," 118,181.70 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:EC-38 (EC382410JPJ011),Bioelab EC-38 Auto Hematology Analyzer,Inventory Part,EC382410JPJ011,," 127,272.60 ",1.00,0.00,0.00,unit (unit)
Bioelab Products:EC-38 (EC382410JPJ012),Bioelab EC-38 Auto Hematology Analyzer,Inventory Part,EC382410JPJ012,," 127,272.60 ",1.00,0.00,0.00,unit (unit)
Bioelab Products:EC-38 (EC382410JPJ013),Bioelab EC-38 Auto Hematology Analyzer,Inventory Part,EC382410JPJ013,," 127,272.60 ",1.00,0.00,0.00,unit (unit)
Bioelab Products:EC-38 (EC382410JPJ014),Bioelab EC-38 Auto Hematology Analyzer,Inventory Part,EC382410JPJ014,," 127,272.60 ",1.00,0.00,0.00,unit (unit)
Bioelab Products:EC-38 (EC382410JPJ015),Bioelab EC-38 Auto Hematology Analyzer,Inventory Part,EC382410JPJ015,," 127,272.60 ",1.00,0.00,0.00,unit (unit)
Bioelab Products:EC38 HGB,Bioelab EC38 HGB Assembly,Inventory Part,,," 2,949.52 ",5.00,0.00,0.00,pc (pc)
Bioelab Products:EC38 RBC,Bioelab EC38 RBC Chamber Assembly,Inventory Part,,," 9,586.08 ",5.00,0.00,0.00,pc (pc)
Bioelab Products:EC38 WBC,Bioelab EC38 WBC Chamber Assembly,Inventory Part,,," 9,954.70 ",5.00,0.00,0.00,pc (pc)
Bioelab Products:ES-100C (ES1002410CT041P),Bioelab ES-100C Semi-Auto Chemistry Analyzer,Inventory Part,ES1002410CT041P,," 56,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:ES-100C (ES1002410CT042P),Bioelab ES-100C Semi-Auto Chemistry Analyzer,Inventory Part,ES1002410CT042P,," 56,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:ES100 (ES1002303CT514P),Bioelab ES-100C Semi-Auto Chemistry Analyzer,Inventory Part,ES1002303CT514P,," 52,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:ES100 (ES1002303CT516P),Bioelab ES-100C Semi-Auto Chemistry Analyzer,Inventory Part,ES1002303CT516P,," 52,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:ES100 (ES1002303CT518P),Bioelab ES-100C Semi-Auto Chemistry Analyzer,Inventory Part,ES1002303CT518P,," 52,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:ES100 (ES1002303CT519P),Bioelab ES-100C Semi-Auto Chemistry Analyzer,Inventory Part,ES1002303CT519P,," 52,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:ES100 (ES1002303CT520P),Bioelab ES-100C Semi-Auto Chemistry Analyzer,Inventory Part,ES1002303CT520P,," 52,000.00 ",0.00,0.00,0.00,unit (unit)
Bioelab Products:ES100 (ES1002303CT521P),Bioelab ES-100C Semi-Auto Chemistry Analyzer,Inventory Part,ES1002303CT521P,," 52,000.00 ",1.00,0.00,0.00,unit (unit)
Bioelab Products:ES100 (ES1002303CT522P),Bioelab ES-100C Semi-Auto Chemistry Analyzer,Inventory Part,ES1002303CT522P,," 52,000.00 ",0.00,0.00,0.00,unit (unit)
